random,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url,network
,,,some,Ant,ANT,https://antswap.fi,https://rugdoc.io/project/antswap/,BSC
,,,low,Billhwang,BILL,https://www.billhwangdefi.co,https://rugdoc.io/project/bill-hwang-defi/,BSC
x,,,some,Lavacake,LAVA,https://lavacake.finance,https://rugdoc.io/project/lava-cake/,BSC
,,,high,Mayo,MAYO,https://mayoswap.com,https://rugdoc.io/project/mayoswap/,BSC
,,,high,FarmHero,FARMHERO,https://farmhero.io,https://rugdoc.io/project/farmhero/,BSC
x,,,some,Polywhale,KRILL,https://polywhale.finance,https://rugdoc.io/project/polywhale-polygon/,MATIC
,,,high,Polyfox,FOX,https://polyfox.finance,https://rugdoc.io/project/polyfox-finance/,MATIC
,,,some,Hawkdex,HAWK,https://hawkdex.com,https://rugdoc.io/project/polyhawk/,MATIC
,,,some,PolyDragon,FIRE,https://polydragon.io,https://rugdoc.io/project/polydragon-io/,MATIC
x,,,low,Polycat,FISH,https://polycat.finance,https://rugdoc.io/project/polycat/,MATIC
,,,some,PolyStarter,STARTER,https://www.polystarter.fi,https://rugdoc.io/project/polystarter-fi/,MATIC
,,,some,Polyvolve,SPEAR,https://polyvolve.finance,https://rugdoc.io/project/polyvolve-finance/,MATIC
x,,,some,Polygaj,GAJ,https://polygaj.finance,https://rugdoc.io/project/polygaj-finance/,MATIC
,,,some,GameSwap,STONK,https://gameswapfinance.com,https://rugdoc.io/project/gameswap/,MATIC
,,,low,Blackswap *,AURORA/SOLAR,https://www.blackswap.finance,https://rugdoc.io/project/black-poly/,MATIC
x,,,some,Polycake,PCAKE,https://www.polycake.finance,https://rugdoc.io/project/polycake-finance/,MATIC
,,,some,Polyrangers,RNG,https://polyrangers.finance,https://rugdoc.io/project/polyrangers-poly/,MATIC
,,,low,Polyshark,SHARK,https://www.polyshark.finance,https://rugdoc.io/project/polysharkpolygon/,MATIC
,,,low,Polyfi,PolyFi,https://polyfi.io,https://rugdoc.io/project/polyfi-polygon/,MATIC
,,,low,Polyape,Ape,https://www.polyape.online,https://rugdoc.io/project/polyape-polygon/,MATIC
x,,,low,Polyzap,PZAP,https://farm.polyzap.finance,https://rugdoc.io/project/polyzap-poly/,MATIC
,,,some,Polypanda,BAMBOO,https://polypanda.finance,https://rugdoc.io/project/polypanda-polygon/,MATIC
,,,low,Jurassic,RAPTOR,https://www.jurassicfarm.app,https://rugdoc.io/project/jurassic-farm-polygon/,MATIC
,,,low,Monopoly,MONO,https://monopolyfinance.xyz,https://rugdoc.io/project/monopoly-polygon/,MATIC
,,,low,Polyce,CSI,https://polyce.io,https://rugdoc.io/project/polyce-polygon/,MATIC
,,,low,Lumberjack,ACORN,https://lumberjack.finance,https://rugdoc.io/project/lumberjack/,MATIC
,,,low,PolyPunk,PPNK,https://polypunk.finance,https://rugdoc.io/project/polypunk-finance/,MATIC
,,,some,SteakHouse,STEAK,https://steakhouse.finance,https://rugdoc.io/project/steakhouse/,MATIC
x,,,low,Polylion,LION,https://polylion.exchange,https://rugdoc.io/project/polylion/,MATIC
x,,,low,PolyBull,BULL,https://polybull.finance,https://rugdoc.io/project/polybull-finance/,MATIC
,,,low,Orcinus,ORCA,https://www.orcinuslabs.ca,https://rugdoc.io/project/orcinuslabs/,MATIC
,,,low,Polyape Finance,APE,https://www.polyapefinance.com,https://rugdoc.io/project/polyapefi-polygon/,MATIC
,,,some,PolyWolf,WOLF,https://polywolf.finance,https://rugdoc.io/project/polywolf/,MATIC
,,,high,Polygoat,GOAT,https://www.polygoat.finance,https://rugdoc.io/project/polygoat/,MATIC
,,,high,Polysnake,SNAKE,https://www.polysnake.finance,https://rugdoc.io/project/polysnake/,MATIC
x,,,low,Iron,TITAN,https://polygon.iron.finance,https://rugdoc.io/project/polygon-iron-finance/,MATIC
,,,some,Polycrab,CRAB,https://polycrab.finance,https://rugdoc.io/project/polycrab/,MATIC
,,,low,Polybear,BEAR,https://polybear.exchange,https://rugdoc.io/project/polybear/,MATIC
,,,low,StonkFarm,STONKX,https://stonk.farm,https://rugdoc.io/project/gameswap-stonkx/,MATIC
,,,high,Polydex,PLX,https://polydex.fi,https://rugdoc.io/project/polydex/,MATIC
,,,low,PolyMaple,MAPLE,,https://rugdoc.io/project/polymaple/,MATIC
