cmc_id,name,current_name,symbol,name_in_coingecko
463.0,BitShares,BitShares,BTS,BitShares
3718.0,BitTorrent,BitTorrent,BTT,BitTorrent
2561.0,BitTube,BitTube,TUBE,BitTube
2918.0,BitZ Token,BitZ Token,BZ,BitZ Token
7867.0,Bitcashpay,Bitcashpay,BCP,BitcashPay
1381.0,Bitcloud,Bitcloud,BTDX,Bitcloud
1.0,Bitcoin,Bitcoin,BTC,Bitcoin
3974.0,Bitcoin 2,Bitcoin 2,BTC2,Bitcoin 2
1831.0,Bitcoin Cash,Bitcoin Cash,BCH,Bitcoin Cash
7686.0,Bitcoin Cash ABC,Bitcoin Cash ABC,BCHA,Bitcoin Cash ABC
5168.0,Bitcoin Classic,Bitcoin Classic,BXC,Bitcoin Classic
3976.0,Bitcoin Confidential,Bitcoin Confidential,BC,Bitcoin Confidential
2222.0,Bitcoin Diamond,Bitcoin Diamond,BCD,Bitcoin Diamond
2083.0,Bitcoin Gold,Bitcoin Gold,BTG,Bitcoin Gold
293.0,Bitcoin Plus,Bitcoin Plus,XBC,Bitcoin Plus
2575.0,Bitcoin Private,Bitcoin Private,BTCP,Bitcoin Private
3602.0,Bitcoin SV,Bitcoin SV,BSV,Bitcoin SV
2041.0,BitcoinZ,BitcoinZ,BTCZ,BitcoinZ
6593.0,Bitgear,Bitgear,GEAR,Bitgear
276.0,Bitstar,Bitstar,BITS,Bitstar
170.0,BlackCoin,BlackCoin,BLK,BlackCoin
9026.0,Blind Boxes,Blind Boxes,BLES,Blind Boxes
2614.0,BlitzPredict,BlitzPick,XBP,BlitzPredict
3627.0,Block-Logic,Block-Logic,BLTG,Block-Logic
3616.0,Blockchain Certified Data Token,Blockchain Certified Data Token,BCDT,Blockchain Certified Data Token
6789.0,Blockchain Cuties Universe Governance,Blockchain Cuties Universe Governance,BCUG,Blockchain Cuties Universe Governance
3860.0,Blockcloud,Blockcloud,BLOC,Blockcloud
707.0,Blocknet,Blocknet,BLOCK,Blocknet
4997.0,Blockzero Labs,Blockzero Labs,XIO,Blockzero Labs
1864.0,Blox,Blox,CDT,Blox
2076.0,Blue Protocol,Blue Protocol,BLUE,Blue Protocol
2505.0,Bluzelle,Bluzelle,BLZ,Bluzelle
2605.0,BnkToTheFuture,BnkToTheFuture,BFT,BnkToTheFuture
2889.0,Bob's Repair,Bob's Repair,BOB,Bob's Repair
7436.0,BonFi,BonFi,BNF,BonFi
7500.0,Bonded Finance,Bonded Finance,BOND,Bonded Finance
7931.0,Bondly,Bondly,BONDLY,Bondly
5915.0,Bone,Bone,BONE,Bone
7978.0,Bonfida,Bonfida,FIDA,Bonfida
6862.0,Boosted Finance,Boosted Finance,BOOST,Boosted Finance
7509.0,BoringDAO,BoringDAO,BOR,BoringDAO
8827.0,Boson Protocol,Boson Protocol,BOSON,Boson Protocol
2392.0,Bottos,Bottos,BTO,Bottos
2306.0,Bread,Bread,BRD,Bread
8364.0,Bridge Mutual,Bridge Mutual,BMI,Bridge Mutual
573.0,Burst,Burst,BURST,Burst
8405.0,Butterfly Protocol,Butterfly Protocol,BFLY,Butterfly Protocol
5056.0,BuySell,BuySell,BULL,BuySell
372.0,Bytecoin,Bytecoin,BCN,Bytecoin
1866.0,Bytom,Bytom,BTM,Bytom
5719.0,CACHE Gold,CACHE Gold,CGT,CACHE Gold
6502.0,CBDAO,CBDAO,BREE,CBDAO
7031.0,CHADS VC,CHADS VC,CHADS,CHADS VC
3934.0,CNNS,CNNS,CNNS,CNNS
6645.0,COIL,COIL,COIL,Coil
8947.0,COPS FINANCE,COPS FINANCE,COPS,Cops Finance
3992.0,COTI,COTI,COTI,COTI
8175.0,COVER Protocol,COVER Protocol,COVER,Cover Protocol
2482.0,CPChain,CPChain,CPC,CPChain
5473.0,CRDT,CRDT,CRDT,CRDT
1676.0,CREA,CREA,CREA,CREA
2444.0,CRYPTO20,CRYPTO20,C20,CRYPTO20
8258.0,CUDOS,CUDOS,CUDOS,Cudos
9121.0,CUE Protocol,CUE Protocol,CUE,CUE Protocol
4752.0,CUTcoin,CUTcoin,CUT,CUTcoin
1810.0,CVCoin,CVCoin,CVN,CVCoin
8481.0,CafeSwap Token,CafeSwap Token,BREW,CafeSwap Token
2757.0,Callisto Network,Callisto Network,CLO,Callisto Network
2343.0,CanYaCoin,CanYaCoin,CAN,CanYaCoin
5809.0,Cap,Cap,CAP,Cap
7809.0,Carbon,Carbon,CRBN,Carbon
2010.0,Cardano,Cardano,ADA,Cardano
2891.0,Cardstack,Cardstack,CARD,Cardstack
2490.0,CargoX,CargoX,CXO,CargoX
3946.0,Carry,Carry,CRE,Carry
5444.0,Cartesi,Cartesi,CTSI,Cartesi
2529.0,Cashaa,Cashaa,CAS,Cashaa
5427.0,Cashhand,Cashhand,CHND,Cashhand
2855.0,Casino Betting Coin,Casino Betting Coin,CBC,Casino Betting Coin
6649.0,Cat Token,Cat Token,CAT,Cat Token
4045.0,Catex Token,Catex Token,CATT,Catex Token
3814.0,Celer Network,Celer Network,CELR,Celer Network
5567.0,Celo,Celo,CELO,Celo
7236.0,Celo Dollar,Celo Dollar,CUSD,Celo Dollar
7349.0,Centaur,Centaur,CNTR,Centaur
4807.0,CertiK,CertiK,CTK,CertiK
6744.0,Chain Games,Chain Games,CHAIN,Chain Games
8648.0,Chain Guardians,Chain Guardians,CGG,Chain Guardians
4200.0,ChainX,ChainX,PCX,ChainX
1975.0,Chainlink,Chainlink,LINK,Chainlink
9289.0,Chainswap,Chainswap,TOKEN,Chainswap
5400.0,Charg Coin,Charg Coin,CHG,Charg Coin
6861.0,ChartEx,ChartEx,CHART,ChartEx
5709.0,Chi Gastoken,Chi Gastoken,CHI,Chi Gastoken
4066.0,Chiliz,Chiliz,CHZ,Chiliz
7487.0,Chonk,Chonk,CHONK,Chonk
3978.0,Chromia,Chromia,CHR,Chromia
1556.0,Chrono.tech,Chrono.tech,TIME,chrono.tech
2043.0,Cindicator,Cindicator,CND,Cindicator
788.0,Circuits of Value,Circuits of Value,COVAL,Circuits of Value
1816.0,Civic,Civic,CVC,Civic
7860.0,ClinTex CTi,ClinTex CTi,CTI,ClinTex CTi
362.0,CloakCoin,CloakCoin,CLOAK,Cloakcoin
7381.0,CoFiX,CoFiX,COFI,CoFiX
3779.0,CoTrader,CoTrader,COT,CoTrader
8107.0,Cobak Token,Cobak Token,CBK,Cobak Token
6920.0,Coin Artist,Coin Artist,COIN,Coin Artist
2478.0,CoinFi,CoinFi,COFI,CoinFi
4701.0,CoinHe Token,CoinHe Token,CHT,CoinHe Token
2569.0,CoinPoker,CoinPoker,CHP,CoinPoker
3648.0,CoinUs,CoinUs,CNUS,CoinUs
8999.0,Collateral Pay,Collateral Pay,COLL,Collateral Pay
7178.0,Combine.finance,Combine.finance,COMB,Combine.finance
5692.0,Compound,Compound,COMP,Compound
3732.0,Conceal,Conceal,CCX,Conceal
8227.0,Connect Financial,Connect Financial,CNFI,Connect Financial
2868.0,Constellation,Constellation,DAG,Constellation
2735.0,Content Neutrality Network,Content Neutrality Network,CNN,Content Neutrality Network
3686.0,Content Value Network,Content Value Network,CVNT,Content Value Network
2945.0,ContentBox,ContentBox,BOX,ContentBox
4036.0,Contentos,Contentos,COS,Contentos
8716.0,Convergence,Convergence,CONV,Convergence
9015.0,Cope,Cope,COPE,Cope
