,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
31,1INCH,USDC,1.1128759777,0.40851059999999995,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
32,1INCH,VSP,3821776.55,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-06-21,,,,,,,,
33,1INCH-LINK,kmUSDC,0,,ETH,,FARM,SUSHI,2021-06-21,,,,,,,,
34,1INCH-LINK,kmWETH,0,,ETH,,FARM,SUSHI,2021-06-21,,,,,,,,
35,1ONE,ETH,200.5767089807,0.9120171600000001,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
36,1UP,ETH,0.5211732063,0.38475768000000005,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
37,2GT,USDT,28.1107924354,1.43477616,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
38,2KEY,DAI,8.3641945541,1.15140624,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
39,2KEY,ETH,77.2326907971,0.6166921200000001,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
40,2KEY,ETH,0.0143307172,0.0035435999999999996,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
41,3Crv,,35230969.56,35.95,ETH,43.23594859737947,FARM,https://www.convexfinance.com,2021-06-21,,,,,,,,
42,3Crv,,95320890.97,3.55,ETH,3.6135859488776623,FARM,https://www.convexfinance.com,2021-06-21,,,,,,,,
43,3EPS,,383162.42,19.40,BSC,21.403371259169866,FARM,https://app.swamp.finance,2021-06-21,,,,,,,,
44,3EPS,,344198159.41,10.76,BSC,11.358455734044659,FARM,https://ellipsis.finance,2021-06-21,,,,,,,,
45,3FROYO,,390686.89,33.94,FANTOM,40.388346496718185,FARM,https://frozenyogurt.finance,2021-06-21,,,,,,,,
46,3NRV-LP,,187910946.12,4.25,BSC,4.341347483723013,FARM,https://nerve.fi,2021-06-21,,,,,,,,
47,4Belt,,0.00,0,BSC,0.0,FARM,https://autofarm.network,2021-06-21,,,,,,,,
48,4Belt,,0.00,0,BSC,0.0,FARM,https://app.swamp.finance,2021-06-21,,,,,,,,
49,4Belt,,0.00,0,BSC,0.0,FARM,https://blue.planetfinance.io,2021-06-21,,,,some,Blue - PlanetFinance,AQUA,https://blue.planetfinance.io,https://rugdoc.io/project/planetfinance/
50,69C,ETH,0.5156546944,0.08788151999999999,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
51,888,BNB,682.88,172.60,BSC,459.53276075790563,FARM,https://glacierswap.org/farms/,2021-06-21,,,,,,,,
52,88MPH,DAI,6.7972108559,0.07637052,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
53,88MPH,HARVEST,0.0,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
54,88MPH,UNI,26.571849697,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
55,89SA,ETH,3.998762313,5.15366652,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
56,8BALL,,30930.77,0.00,MATIC,0.0,FARM,https://8ballfinance.io,2021-06-21,,,,,,,,
57,8BALL,USDC,42657.81,0.00,MATIC,0.0,FARM,https://8ballfinance.io,2021-06-21,,,,,,,,
58,8BALL,WMATIC,91171.53,0.00,MATIC,0.0,FARM,https://8ballfinance.io,2021-06-21,,,,,,,,
59,A010,BNB,2329.06,2.40,BSC,2.428950971921151,FARM,https://dollar.supra.finance,2021-06-21,,,,,,,,
60,AAH,ETH,67.3047461202,1.880382,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
61,AAVE,,106.32,237.01,MATIC,961.6804936695727,FARM,https://polyvolve.finance,2021-06-21,,,,some,Polyvolve,SPEAR,https://polyvolve.finance,https://rugdoc.io/project/polyvolve-finance/
