pair1,pair2,tvl,apr,where,network
kmCOMP/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmFTM/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmSNX/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmRUNE/sUSD,LINK,0,,https://app.sushi.com/farms/,ETH
kmREN/USDC,LINK,0,,https://app.sushi.com/farms/,ETH
kmAAVE/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
kmUNI/DAI,LINK,0,,https://app.sushi.com/farms/,ETH
BPT,WETH,64124,102.32,https://app.sushi.com/farms/,ETH
NEAR,WETH,470864,13.93,https://app.sushi.com/farms/,ETH
BANK,WETH,196381,33.41,https://app.sushi.com/farms/,ETH
alUSD,WETH,458319,57.26,https://app.sushi.com/farms/,ETH
USDC,SAK3,196529,113.51,https://app.sushi.com/farms/,ETH
BOND,WETH,248938,131.78,https://app.sushi.com/farms/,ETH
bb_cDAI,DAI,185369,35.39,https://app.sushi.com/farms/,ETH
WETH,FOLD,222758,29.45,https://app.sushi.com/farms/,ETH
NDX,WETH,192968,47.6,https://app.sushi.com/farms/,ETH
DEGEN,WETH,208416,62.96,https://app.sushi.com/farms/,ETH
WETH,1ONE,28733,228,https://app.sushi.com/farms/,ETH
WMATIC,,76111,324.69,https://50cent.network,MATIC
WETH,,118221,209.04,https://50cent.network,MATIC
USDC,,1125646,21.95,https://50cent.network,MATIC
USDC,,2562,96470.97,https://50cent.network,MATIC
Wmatic,,77133,11311.94,https://50cent.network,MATIC
USDC,,41833,8690.59,https://50cent.network,MATIC
50C,,29588,7372.33,https://50cent.network,MATIC
DAI,,1031310637,2.64,https://aave.com,MATIC
USDC,,1298872985,2.34,https://aave.com,MATIC
USDT,,255638440,3.02,https://aave.com,MATIC
WBTC,,10630,0.06,https://aave.com,MATIC
WETH,,484244,0.24,https://aave.com,MATIC
WMATIC,,204845124,1.9,https://aave.com,MATIC
AAVE,,312754,0,https://aave.com,MATIC
WMATIC,DAI,3159909,60.94,https://dmm.exchange/,MATIC
WMATIC,KNC,2094336,138.63,https://dmm.exchange/,MATIC
USDC,USDT,53266888,10.46,https://dmm.exchange/,MATIC
USDC,DAI,37058855,15.05,https://dmm.exchange/,MATIC
USDC,WETH,21519831.94,45.43,https://dmm.exchange/,MATIC
KNC,WETH,2403459.74,138.77,https://dmm.exchange/,MATIC
GFI,USDC,679231,506.55,https://gravityfinance.io/app/#farms,MATIC
GFI,WETH,689316,497.7,https://gravityfinance.io/app/#farms,MATIC
GFI,,330500,195.6,https://gravityfinance.io/app/#farms,MATIC
SUSHI,,112264,54.7,https://gravityfinance.io/app/#farms,MATIC
LINK,,196304,31.28,https://gravityfinance.io/app/#farms,MATIC
Helmet,WBNB (Cake),6980461,53.01,https://www.helmet.insure,BSC
Helmet,WBNB (Uni),434886,204.21,https://www.helmet.insure,BSC
Helmet,,7357100,41.45,https://www.helmet.insure,BSC
AAVE,,427775309,0,https://aave.com,ETH
BAL,,3494116,17.57,https://aave.com,ETH
BAT,,2193034,0.7,https://aave.com,ETH
BUSD,,11428390,2.24,https://aave.com,ETH
CRV,,18444141.25,10.76,https://aave.com,ETH
DAI,,1648387084.52,2.33,https://aave.com,ETH
DAI,,12032010.58,2.31,https://aave.com,ETH
GUSD,,23625532,2.72,https://aave.com,ETH
KNC,,1827905,0.05,https://aave.com,ETH
LINK,,361898717,0.05,https://aave.com,ETH
MANA,,3869246,0.07,https://aave.com,ETH
MKR,,112860980,0,https://aave.com,ETH
REN,,15718744,0.38,https://aave.com,ETH
SNX,,7896609,3.66,https://aave.com,ETH
sUSD,,55722075,1.84,https://aave.com,ETH
TUSD,,174572996,1.12,https://aave.com,ETH
UNI,,65402255,0.01,https://aave.com,ETH
USDC,,3876467502,2.1,https://aave.com,ETH
USDT,,953087637,3.11,https://aave.com,ETH
WBTC,,1386940498,0.03,https://aave.com,ETH
WETH,,2614091673.98,0.05,https://aave.com,ETH
xSUSHI,,165092534.03,0,https://aave.com,ETH
YFI,,61496804.29,0.07,https://aave.com,ETH
ZRX,,2000614.07,0.1,https://aave.com,ETH
BTC,USDC,852291.43,251.49,https://app.compli.fi,ETH
BTC,USDC,17908.78,5984.31,https://app.compli.fi,ETH
